Nombre,Tiempo de Aprendizaje,Transferencia de la formacion,Retencion de conocimiento y habilidades,Impacto del rendimiento en la organizacion,Nota de evaluacion
Lanny Beesley,4 meses,Baja,Muy Alta,Muy baja,54
Abran Goulbourn,3 meses,Promedio,Muy Alta,Muy baja,63
Derrik Mynott,4 meses,Promedio,Promedio,Baja,89
Forrester Orfeur,1 mes,Muy baja,Baja,Baja,50
Bern Reade,1 mes,Muy Alta,Promedio,Baja,14
Sly McArley,4 meses,Alta,Muy baja,Alta,40
Henrie Windrass,1 mes,Promedio,Baja,Baja,1
Andreana Lawlee,1 mes,Promedio,Muy Alta,Muy Alta,20
Cy Bibbie,4 meses,Alta,Promedio,Baja,58
Sascha Cossins,4 meses,Baja,Alta,Promedio,55
Demetra Gimbrett,2 meses,Muy baja,Muy Alta,Promedio,49
Eartha Jaine,2 meses,Muy Alta,Alta,Muy Alta,24
Clint McMechan,1 mes,Muy Alta,Baja,Promedio,66
Jaquenette Gallard,3 meses,Baja,Promedio,Alta,31
Clo Kernermann,3 meses,Alta,Baja,Baja,21
Edythe Rehme,3 meses,Alta,Promedio,Muy Alta,16
Suzie Lawrie,2 meses,Baja,Promedio,Muy Alta,42
Nevsa Belleny,2 meses,Muy Alta,Alta,Alta,51
Fernandina Frostdick,2 meses,Baja,Promedio,Muy baja,64
Witty Towers,3 meses,Muy Alta,Alta,Muy Alta,37
Alma Garratty,2 meses,Baja,Baja,Promedio,9
Myranda Stoffer,2 meses,Baja,Alta,Muy baja,65
Lanette Doram,1 mes,Muy Alta,Promedio,Baja,48
Lock Darby,3 meses,Muy Alta,Muy Alta,Muy Alta,87
Jaclin Brezlaw,3 meses,Muy Alta,Muy baja,Muy baja,99
Bee Kinastan,2 meses,Promedio,Promedio,Muy Alta,21
Haydon Guillain,1 mes,Muy Alta,Promedio,Muy baja,1
Phil Hansemann,3 meses,Baja,Baja,Baja,71
Violante Atlee,3 meses,Baja,Alta,Alta,16
Hallie Gilbanks,3 meses,Promedio,Muy Alta,Muy baja,43
Jefferey Gregolotti,1 mes,Baja,Baja,Promedio,72
Tiffanie Fabbro,4 meses,Baja,Baja,Alta,72
Gilligan Jordan,2 meses,Alta,Baja,Muy Alta,25
Pablo Denizet,2 meses,Baja,Muy Alta,Baja,11
Tessa Angove,3 meses,Promedio,Alta,Baja,70
Rhett Jansky,2 meses,Muy Alta,Alta,Muy baja,20
Ellene Staunton,4 meses,Promedio,Muy baja,Muy baja,79
Ronica Muncey,3 meses,Muy baja,Baja,Promedio,2
Darrel Cellone,4 meses,Muy Alta,Promedio,Promedio,13
Clari Mummery,1 mes,Promedio,Promedio,Alta,39
Shayla Swiffan,1 mes,Muy Alta,Muy baja,Promedio,45
Belia Broad,2 meses,Muy Alta,Baja,Alta,66
Eldon Flade,2 meses,Muy Alta,Baja,Promedio,43
Kelila Vanns,4 meses,Baja,Promedio,Baja,37
Lorens Jurgensen,4 meses,Muy baja,Muy baja,Promedio,55
Papageno Sansome,4 meses,Alta,Alta,Alta,93
Jeremy Mazonowicz,1 mes,Baja,Muy baja,Muy Alta,65
Theresina Norker,3 meses,Alta,Alta,Baja,97
Arman Sine,2 meses,Muy Alta,Muy Alta,Muy Alta,55
Viv Lanceley,3 meses,Promedio,Baja,Alta,79
Nalani Klink,3 meses,Muy Alta,Muy Alta,Muy baja,53
Maiga Wilcinskis,1 mes,Promedio,Muy Alta,Muy Alta,24
Gregory Cardus,1 mes,Muy Alta,Promedio,Alta,35
Gery Skentelbury,1 mes,Muy baja,Alta,Muy Alta,29
Trstram Grooby,4 meses,Alta,Muy Alta,Promedio,18
Tyne Pieter,3 meses,Muy Alta,Promedio,Baja,73
Susannah Euler,4 meses,Muy Alta,Promedio,Promedio,97
Gerta Caldeyroux,2 meses,Alta,Baja,Baja,5
Celia Czyz,4 meses,Promedio,Alta,Alta,7
Trudie Sherwill,3 meses,Muy baja,Baja,Promedio,23
Miltie De Ferraris,4 meses,Promedio,Baja,Promedio,86
Hugo Wildash,4 meses,Alta,Muy Alta,Alta,78
Tera Koenen,3 meses,Promedio,Alta,Baja,18
Chance Royal,1 mes,Muy baja,Muy baja,Baja,59
Trefor Jimes,4 meses,Alta,Promedio,Promedio,95
Claudette Bedells,1 mes,Promedio,Baja,Alta,81
Patrick Laffoley-Lane,1 mes,Muy baja,Muy baja,Muy Alta,61
Alvis Adanez,3 meses,Alta,Promedio,Muy baja,48
Pierson Flucks,3 meses,Baja,Muy Alta,Promedio,79
Rakel Hefferon,4 meses,Alta,Muy Alta,Promedio,56
Melli Taynton,2 meses,Alta,Muy baja,Baja,85
Cassandra Rameau,3 meses,Baja,Promedio,Alta,48
Stephanus Haizelden,2 meses,Alta,Baja,Muy baja,90
Frasier Swaby,1 mes,Muy Alta,Muy Alta,Alta,63
Jessee Tregust,3 meses,Baja,Promedio,Baja,24
Donn Daborne,2 meses,Promedio,Muy Alta,Muy Alta,38
Farley Buttler,4 meses,Promedio,Alta,Baja,44
Francesca Studdal,4 meses,Alta,Alta,Muy baja,41
Ruthi Rudeforth,2 meses,Baja,Alta,Promedio,62
Coretta Wretham,2 meses,Muy baja,Promedio,Promedio,61
Maryellen Stonman,4 meses,Baja,Alta,Baja,88
Erna Shilito,4 meses,Muy baja,Promedio,Muy Alta,61
Artie Danniell,4 meses,Baja,Muy baja,Muy baja,96
Calley Hush,2 meses,Muy Alta,Baja,Muy baja,76
Elset Barr,3 meses,Muy baja,Muy Alta,Promedio,1
Faun Cominotti,2 meses,Muy baja,Muy Alta,Baja,94
Cass MacQuaker,2 meses,Alta,Promedio,Muy Alta,91
Clyde Gillicuddy,2 meses,Muy baja,Promedio,Alta,54
Dori Massel,2 meses,Alta,Alta,Muy baja,69
Sansone Hizir,2 meses,Muy baja,Alta,Muy Alta,1
Noak McGinnell,4 meses,Baja,Promedio,Alta,48
Casey Bowich,4 meses,Promedio,Alta,Baja,40
Tannie Hanaford,3 meses,Baja,Muy Alta,Muy baja,11
Win Cammis,3 meses,Muy Alta,Promedio,Promedio,5
Freda Gregorin,1 mes,Muy baja,Baja,Alta,95
Michal Hobbert,2 meses,Alta,Muy baja,Baja,86
Pip Clarke-Williams,1 mes,Baja,Baja,Baja,59
Indira Shellard,3 meses,Muy Alta,Muy Alta,Muy Alta,22
Bradly Moogan,3 meses,Muy Alta,Alta,Alta,80
Winny Artist,2 meses,Baja,Promedio,Muy baja,91
Agnese Bellord,1 mes,Alta,Alta,Baja,27
Marybelle Rosenblum,3 meses,Muy baja,Baja,Muy Alta,72
Hildagarde Lilion,2 meses,Muy baja,Promedio,Muy Alta,50
Dinny Schulze,4 meses,Muy baja,Alta,Promedio,100
Andrus Hadcock,2 meses,Muy Alta,Promedio,Alta,96
Ayn Sakins,1 mes,Promedio,Promedio,Muy Alta,72
Cordy Stother,3 meses,Muy baja,Baja,Muy baja,32
Moina Lohde,4 meses,Alta,Promedio,Baja,5
Felecia Quilty,4 meses,Promedio,Baja,Alta,28
Berne Honack,2 meses,Alta,Baja,Muy baja,86
Neale Merriton,2 meses,Muy baja,Baja,Alta,36
Merrill Lepick,3 meses,Muy baja,Baja,Muy baja,44
Pip Riedel,3 meses,Muy Alta,Muy baja,Alta,26
Chery Gimert,3 meses,Muy Alta,Muy Alta,Alta,8
Paten Abramamov,3 meses,Baja,Alta,Alta,5
Del Spong,2 meses,Promedio,Muy baja,Muy Alta,5
Danny Pfeffel,1 mes,Muy baja,Baja,Alta,3
Sorcha Leuren,2 meses,Alta,Promedio,Muy baja,34
Wade Rymmer,1 mes,Alta,Promedio,Baja,68
Riannon Goldin,2 meses,Baja,Muy baja,Promedio,51
Lee Duggen,4 meses,Muy baja,Alta,Alta,69
Lorena Panniers,4 meses,Alta,Alta,Baja,38
Benny Dubique,1 mes,Alta,Muy Alta,Muy baja,72
Decca Parram,3 meses,Muy Alta,Baja,Promedio,59
Loren Loughan,2 meses,Baja,Baja,Muy baja,100
Jodee Gregolotti,4 meses,Baja,Muy baja,Muy Alta,88
Stacia Landor,1 mes,Promedio,Alta,Alta,38
Konstance Taffee,4 meses,Baja,Muy Alta,Baja,35
Sheree Chrstine,1 mes,Alta,Alta,Alta,56
Ev Wallbutton,4 meses,Promedio,Baja,Muy Alta,90
Odelinda Giacomelli,3 meses,Alta,Promedio,Promedio,36
Agnola Skakunas,4 meses,Baja,Promedio,Alta,64
Jasun Aldwich,2 meses,Alta,Muy baja,Alta,12
Gradeigh McKeever,2 meses,Muy Alta,Muy Alta,Baja,99
Erin Cogin,4 meses,Muy baja,Baja,Baja,95
Fiann Abramovic,2 meses,Baja,Alta,Baja,71
Darius Pfeifer,3 meses,Promedio,Baja,Promedio,37
Felicio MacAvaddy,4 meses,Alta,Alta,Baja,41
Odey Obispo,1 mes,Promedio,Alta,Promedio,81
Collie Waycot,2 meses,Muy baja,Baja,Muy baja,72
Federico Jachimak,3 meses,Alta,Muy baja,Baja,76
Hollis Tink,1 mes,Muy Alta,Promedio,Promedio,54
Alisa Bottomore,3 meses,Baja,Alta,Promedio,97
Saundra Inder,3 meses,Alta,Muy Alta,Alta,56
Saxon Muriel,1 mes,Muy Alta,Promedio,Muy Alta,15
Kaitlin Proske,2 meses,Alta,Alta,Baja,1
Charlton Fitton,1 mes,Promedio,Muy baja,Promedio,94
Stefan Kittow,3 meses,Muy baja,Alta,Muy baja,27
Griswold Baud,1 mes,Muy baja,Baja,Promedio,59
Salvador O'Hartagan,3 meses,Alta,Muy baja,Promedio,57
Ilario Igglesden,4 meses,Muy baja,Baja,Muy baja,53
Amye Blumfield,4 meses,Muy Alta,Promedio,Muy Alta,58
Claretta Tuxwell,3 meses,Promedio,Muy baja,Muy baja,12
Tynan Olding,3 meses,Muy baja,Muy baja,Baja,14
Ariana Grimmett,2 meses,Alta,Muy Alta,Baja,15
Kristofor Simmig,2 meses,Baja,Alta,Baja,35
Zach Maddick,1 mes,Muy baja,Alta,Muy baja,2
Lavinie Rawstorn,4 meses,Muy Alta,Alta,Muy baja,72
Dalton Brissenden,3 meses,Baja,Alta,Muy Alta,55
Olvan Hawyes,1 mes,Muy baja,Alta,Muy Alta,58
Polly Baudino,4 meses,Muy baja,Alta,Promedio,74
Horst Cristofol,4 meses,Promedio,Muy baja,Muy Alta,94
Kameko Scimone,1 mes,Muy Alta,Promedio,Baja,15
Demetria Fontell,1 mes,Alta,Promedio,Baja,89
Carilyn Nevet,4 meses,Alta,Promedio,Baja,73
Mareah Bridel,1 mes,Baja,Muy Alta,Muy baja,21
Bobbee Rays,1 mes,Alta,Baja,Promedio,13
Rafi Lyons,4 meses,Muy baja,Muy baja,Muy Alta,53
Demetrius Kits,2 meses,Muy Alta,Muy Alta,Alta,39
Calli Revitt,1 mes,Muy baja,Alta,Muy Alta,24
Godiva Balke,3 meses,Baja,Muy baja,Alta,20
Sandor Toffalo,3 meses,Muy baja,Muy Alta,Muy Alta,2
Elenore Bowhay,4 meses,Baja,Baja,Promedio,5
Beret Deyenhardt,3 meses,Promedio,Promedio,Alta,16
Celestina Burriss,2 meses,Alta,Muy Alta,Muy baja,10
Adelle McLeish,2 meses,Muy Alta,Muy baja,Baja,19
Lise Kinsella,4 meses,Muy Alta,Baja,Baja,24
Iormina Brodeau,2 meses,Muy baja,Baja,Muy Alta,90
Findlay Watters,3 meses,Muy baja,Muy baja,Muy baja,61
Carlee Muglestone,3 meses,Baja,Alta,Baja,60
Foss Chessil,2 meses,Muy baja,Promedio,Promedio,60
Fancy Turbat,1 mes,Promedio,Baja,Muy baja,41
Mala Noble,4 meses,Muy Alta,Muy baja,Muy baja,38
Roi Gotch,3 meses,Promedio,Muy baja,Muy baja,8
Lee Ranklin,1 mes,Alta,Promedio,Muy baja,72
Deeanne Cavendish,4 meses,Promedio,Muy baja,Promedio,20
Jeanne McAdam,4 meses,Muy Alta,Muy baja,Alta,70
Neysa Bennion,1 mes,Promedio,Muy Alta,Baja,37
Ronny Romayne,2 meses,Promedio,Alta,Promedio,82
Olag Brown,2 meses,Muy baja,Muy Alta,Alta,71
Colly Jaxon,1 mes,Baja,Alta,Baja,58
Frasco Scadding,1 mes,Promedio,Muy baja,Baja,51
Joanie Clows,4 meses,Promedio,Alta,Promedio,77
Beckie Hance,3 meses,Muy Alta,Muy Alta,Muy baja,76
Calhoun Stoad,3 meses,Muy baja,Promedio,Muy Alta,82
Horace Dalby,3 meses,Muy Alta,Muy baja,Baja,95
Emlynne Cant,2 meses,Alta,Baja,Alta,75
Dierdre Conyard,1 mes,Alta,Alta,Alta,47
Gustie Harder,1 mes,Promedio,Baja,Muy baja,32
Cymbre Colwill,3 meses,Muy Alta,Muy baja,Muy baja,81
Beniamino MacAvaddy,4 meses,Baja,Muy Alta,Alta,6
Elysee Arnau,1 mes,Promedio,Muy Alta,Muy Alta,2
Tess Gotecliffe,3 meses,Promedio,Muy Alta,Muy Alta,38
Kimberlee Rubinov,4 meses,Alta,Promedio,Muy Alta,72
Mayer Odlin,4 meses,Alta,Muy Alta,Muy Alta,49
Karon Hillin,2 meses,Alta,Muy Alta,Muy Alta,80
Sean Pabelik,1 mes,Promedio,Muy baja,Promedio,60
Chet Leaney,1 mes,Promedio,Alta,Promedio,13
Guendolen Guerrier,4 meses,Alta,Alta,Alta,75
Cristi Satterthwaite,2 meses,Promedio,Muy Alta,Alta,17
Myrtie Alves,1 mes,Promedio,Muy baja,Baja,67
Yvonne Ingree,1 mes,Muy Alta,Muy Alta,Muy baja,4
Danit Fairhall,1 mes,Alta,Baja,Promedio,20
Bernie Hayley,4 meses,Baja,Muy Alta,Alta,24
Grete Brixey,4 meses,Promedio,Muy baja,Alta,35
Katrina Stroyan,1 mes,Muy Alta,Promedio,Promedio,29
Adara Gricks,1 mes,Baja,Alta,Promedio,96
Wes Sperry,2 meses,Muy baja,Promedio,Promedio,23
Henri Braunroth,4 meses,Alta,Muy Alta,Promedio,70
Nikolaos Herkess,4 meses,Baja,Alta,Muy baja,56
Franky Flute,1 mes,Muy Alta,Muy Alta,Promedio,42
Brice Cowpland,2 meses,Muy Alta,Muy Alta,Baja,37
Gearalt Sterman,4 meses,Muy baja,Muy Alta,Alta,20
Vic Feldbau,2 meses,Alta,Muy baja,Alta,31
Mannie Leed,4 meses,Muy baja,Muy baja,Baja,28
Swen Stave,1 mes,Baja,Alta,Promedio,90
Cale Lates,3 meses,Baja,Muy baja,Promedio,36
Debor Huggin,1 mes,Baja,Alta,Muy Alta,74
Garth Clearie,3 meses,Muy Alta,Alta,Promedio,17
Forrester Roggeman,2 meses,Baja,Alta,Muy Alta,75
Scot Wilman,1 mes,Baja,Muy baja,Muy baja,72
Clim Sterman,1 mes,Promedio,Baja,Alta,100
Irving Larcombe,2 meses,Muy baja,Promedio,Muy Alta,35
Kristos Grishakin,1 mes,Alta,Promedio,Muy Alta,64
Bobbye Stove,2 meses,Muy baja,Alta,Alta,57
Dodi O'Driscoll,1 mes,Baja,Baja,Baja,41
Babs Cyster,1 mes,Muy baja,Alta,Muy baja,71
Emera Scrange,3 meses,Promedio,Muy baja,Baja,96
Siusan Athridge,4 meses,Promedio,Muy baja,Alta,97
Sue Stabbins,2 meses,Muy baja,Muy baja,Alta,48
Sylvia Vicarey,3 meses,Promedio,Promedio,Muy baja,44
Jo Sircomb,2 meses,Promedio,Promedio,Promedio,2
Collin Harm,2 meses,Promedio,Alta,Promedio,70
My Tarrant,2 meses,Promedio,Baja,Promedio,79
Ephraim Chaise,3 meses,Baja,Alta,Alta,74
Fancie Rutgers,3 meses,Promedio,Alta,Baja,92
Alain Weinmann,4 meses,Promedio,Muy baja,Muy Alta,82
Chandal Devote,4 meses,Muy baja,Baja,Alta,82
Hillier Brockway,4 meses,Muy baja,Promedio,Alta,34
Corri Gasson,4 meses,Alta,Muy baja,Promedio,24
Lenore Pendreigh,3 meses,Muy baja,Muy baja,Alta,6
Wendye Yves,4 meses,Muy baja,Promedio,Promedio,1
Delora Gaitley,2 meses,Alta,Muy baja,Baja,67
Mora Taunton.,1 mes,Promedio,Muy baja,Alta,89
Kory Aven,3 meses,Promedio,Promedio,Alta,48
Ferdinand Whitelaw,4 meses,Baja,Muy Alta,Alta,14
Pablo Cutforth,2 meses,Promedio,Muy Alta,Baja,67
Ivonne Bifield,4 meses,Muy Alta,Alta,Muy Alta,76
Kelly Escritt,1 mes,Muy baja,Muy Alta,Alta,25
Winona Moutray Read,4 meses,Baja,Promedio,Promedio,98
Amalle Bastin,3 meses,Muy Alta,Alta,Muy baja,81
Christin Ghirigori,1 mes,Promedio,Promedio,Muy Alta,37
Chrystal Klyner,4 meses,Baja,Muy Alta,Promedio,40
Helenka Leborgne,2 meses,Muy Alta,Promedio,Muy Alta,6
Blondelle Roadnight,4 meses,Alta,Muy Alta,Alta,18
Nollie Edwin,3 meses,Promedio,Muy Alta,Muy Alta,15
Adamo Wedmore.,2 meses,Muy baja,Promedio,Baja,75
Lannie Henlon,1 mes,Muy Alta,Promedio,Promedio,76
Atlante Crix,2 meses,Alta,Promedio,Alta,17
Norry Crosson,1 mes,Muy Alta,Muy baja,Promedio,14
Korie Chappelle,1 mes,Muy baja,Muy Alta,Baja,37
Sapphira Chalke,2 meses,Promedio,Muy baja,Alta,9
Beverlie Carsey,3 meses,Muy baja,Muy Alta,Promedio,43
Keir Custy,4 meses,Alta,Muy baja,Alta,58
Ad Huitson,3 meses,Baja,Promedio,Muy Alta,26
Brena Hugli,3 meses,Baja,Promedio,Baja,46
Haskel Impleton,3 meses,Muy baja,Baja,Alta,74
Munroe Ulster,3 meses,Alta,Baja,Alta,7
Raphaela Krolman,3 meses,Promedio,Muy Alta,Muy Alta,37
Vitoria Lethlay,3 meses,Muy baja,Muy Alta,Muy baja,10
Gaynor Sineath,4 meses,Baja,Alta,Muy Alta,8
Rozele Kittle,4 meses,Promedio,Baja,Alta,33
Abbe Willbond,3 meses,Alta,Baja,Muy baja,83
Glenine McCloughlin,2 meses,Baja,Muy baja,Promedio,54
Godard Craigg,2 meses,Muy Alta,Muy baja,Muy Alta,58
Doro Fri,1 mes,Muy Alta,Baja,Muy Alta,5
Edna Dreossi,2 meses,Promedio,Alta,Promedio,4
Mathias Traylen,3 meses,Muy baja,Muy baja,Muy Alta,57
Nicoline Lyall,1 mes,Muy baja,Muy Alta,Promedio,85
Bonnibelle Fulks,1 mes,Muy baja,Alta,Baja,15
Bale MacCaull,3 meses,Muy baja,Promedio,Muy Alta,34
Kevin Shaylor,1 mes,Muy baja,Promedio,Alta,60
Lauryn Kelsow,2 meses,Muy Alta,Muy Alta,Alta,18
Sibella Spickett,2 meses,Muy Alta,Muy baja,Muy Alta,15
Janith Easterby,4 meses,Alta,Promedio,Muy baja,53
Clemens Skirven,3 meses,Muy Alta,Muy baja,Muy Alta,85
Caresse Cardnell,1 mes,Promedio,Muy Alta,Alta,60
Elena Loder,1 mes,Promedio,Baja,Muy baja,96
Wyatt Jory,1 mes,Alta,Promedio,Promedio,73
Jessamyn Danielovitch,1 mes,Baja,Muy Alta,Baja,29
Benedicto Claxton,4 meses,Baja,Alta,Alta,56
Gianni Mathwen,1 mes,Promedio,Muy baja,Promedio,52
Dulcinea Eckels,2 meses,Muy Alta,Baja,Alta,1
Thaddus Littlechild,4 meses,Muy baja,Alta,Promedio,43
Joleen Quilkin,1 mes,Muy baja,Alta,Alta,76
Link Kenward,1 mes,Muy baja,Promedio,Alta,48
Dion Haughton,2 meses,Promedio,Alta,Promedio,81
Suzi Cardnell,4 meses,Alta,Muy Alta,Promedio,89
Adams Lemmertz,4 meses,Promedio,Baja,Muy Alta,10
Harland Anneslie,2 meses,Muy Alta,Baja,Promedio,43
Persis Edgeworth,2 meses,Muy baja,Muy Alta,Baja,28
Bird Grolmann,3 meses,Muy Alta,Muy Alta,Promedio,19
Fernanda Hirche,4 meses,Promedio,Baja,Muy Alta,69
Vanessa Durrell,3 meses,Muy Alta,Promedio,Alta,56
Alain Dmitr,2 meses,Promedio,Promedio,Muy baja,97
Catlee Newbegin,3 meses,Muy baja,Promedio,Promedio,52
Giulietta Eliasson,4 meses,Muy Alta,Muy Alta,Muy Alta,22
Markos Stanyan,4 meses,Baja,Alta,Baja,35
Lennie Castan,2 meses,Muy baja,Muy Alta,Alta,31
Domeniga McGrotty,1 mes,Alta,Muy baja,Muy baja,8
Free Espadate,3 meses,Muy baja,Promedio,Muy Alta,98
Rosalyn Neale,2 meses,Promedio,Muy Alta,Baja,19
Rocky Cockram,1 mes,Muy baja,Baja,Muy Alta,94
Fanechka Laraway,3 meses,Muy Alta,Promedio,Muy Alta,60
Bucky Fife,4 meses,Baja,Promedio,Muy Alta,55
Lizzy Lechmere,3 meses,Promedio,Muy Alta,Muy baja,71
Edy Sharphouse,1 mes,Promedio,Alta,Promedio,92
Shawn Thurbon,4 meses,Alta,Alta,Alta,70
